Tiempo (s),Temperatura (°C),Temp. Máx (°C),Temp. Mín (°C)
0.5,13.736449614300984,25,20
1.0,15.768174888825342,25,20
1.5,19.133261710599456,25,20
2.0,19.502778944872848,25,20
2.5,19.845653982944405,25,20
3.0,20.03425229248082,25,20
3.5,20.126258473525077,25,20
4.0,20.180566596878112,25,20
4.5,20.225193203679655,25,20
5.0,20.311685058136042,25,20
5.5,20.470124109234998,25,20
6.0,20.307594513724588,25,20
6.5,20.4930125710421,25,20
7.0,20.36362506047136,25,20
7.5,20.194818482022786,25,20
8.0,20.032806218316175,25,20
8.5,20.0334935172897,25,20
9.0,20.187786483263068,25,20
9.5,20.35000561212447,25,20
10.0,20.540559350211204,25,20
10.5,20.709315018725608,25,20
11.0,20.73244624432662,25,20
11.5,20.785479151229076,25,20
12.0,20.65296692495213,25,20
12.5,20.603873445407626,25,20
13.0,20.517648601047057,25,20
13.5,20.63611239024339,25,20
14.0,20.68511494208856,25,20
14.5,20.743337908147062,25,20
15.0,20.77017007580579,25,20
15.5,20.944445819804965,25,20
16.0,20.879649434795763,25,20
16.5,20.84375182515423,25,20
17.0,20.84818148574276,25,20
17.5,21.012978107596254,25,20
18.0,20.975003913518144,25,20
18.5,21.135447414283853,25,20
19.0,21.185610085123262,25,20
19.5,21.196169198436962,25,20
20.0,21.230164098277946,25,20
20.5,21.39815674706659,25,20
21.0,21.5232855735572,25,20
21.5,21.392434300941794,25,20
22.0,21.548779595901525,25,20
22.5,21.44426871788457,25,20
23.0,21.488564339176506,25,20
23.5,21.552744909584895,25,20
24.0,21.67271066843774,25,20
24.5,21.79204016119055,22.0,20
25.0,21.96085573876887,22.0,20
25.5,22.022846758458044,22.0,20
26.0,22.089012348455782,22.0,20
26.5,22.052237918471622,22.0,20
27.0,22.059155687572606,22.0,20
27.5,22.132181526417288,22.0,20
28.0,22.06494725235442,22.0,20
28.5,22.199668965511464,22.0,20
29.0,22.09179289510331,22.0,20
29.5,21.981754640316048,22.0,20
30.0,22.096991314727507,22.0,20
30.5,21.961355017505078,22.0,20
31.0,22.058883906935932,22.0,20
31.5,21.97532650560091,22.0,20
32.0,21.912764831500414,22.0,20
32.5,21.871876925116904,22.0,20
33.0,21.941426560291042,22.0,20
33.5,21.776225421171276,22.0,20
34.0,21.90814024032424,22.0,20
34.5,21.978821634319043,22.0,20
35.0,22.004940044596243,22.0,20
35.5,21.891417807158483,22.0,20
36.0,21.75490477346508,22.0,20
36.5,21.876483758114272,22.0,20
37.0,21.79015921488576,22.0,20
37.5,21.74178792460813,22.0,20
38.0,21.922054732284483,22.0,20
38.5,21.908343043123025,22.0,20
39.0,21.893558980063425,22.0,20
39.5,21.696490425176552,22.0,20
40.0,21.685661874827847,22.0,20
40.5,21.608533885553072,22.0,20
41.0,21.767772879193757,22.0,20
41.5,21.824486745006034,22.0,20
42.0,21.97893456760655,22.0,20
42.5,22.13605146865408,22.0,20
43.0,22.280302112127966,22.0,20
43.5,22.281430352440708,22.0,20
44.0,22.475850294019963,22.0,20
44.5,22.603111008512315,22.0,20
45.0,22.67830985318586,22.0,20
45.5,22.58889545188316,22.0,20
46.0,22.590336958122055,22.0,20
46.5,22.440435267217673,22.0,20
47.0,22.566502921106334,22.0,20
47.5,22.511266443861647,22.0,20
48.0,22.487572129209923,22.0,20
48.5,22.432784508602765,22.0,20
49.0,22.499482258567646,22.0,20
49.5,22.442232520385307,22.0,20
50.0,22.47772356927306,22.0,20
50.5,22.436251940599004,22.0,20
51.0,22.388043324603156,22.0,20
51.5,22.474703686658223,22.0,20
52.0,22.58070639947012,22.0,20
52.5,22.59399045484774,22.0,20
53.0,22.44957558145612,22.0,20
53.5,22.557570824766305,22.0,20
54.0,22.381400305901924,22.0,20
54.5,22.432511269905056,22.0,20
55.0,22.29691163093463,22.0,20
55.5,22.2489717768064,22.0,20
56.0,22.222799437864836,22.0,20
56.5,22.049680144575245,22.0,20
57.0,21.936349990064116,22.0,20
57.5,22.097085164253187,22.0,20
58.0,22.21793150703755,22.0,20
58.5,22.085492715155837,22.0,20
59.0,22.074090975627172,22.0,20
59.5,21.926981531805826,22.0,20
60.0,21.99844830608859,22.0,20
60.5,22.139217149047752,22.0,20
61.0,22.193166211281447,22.0,20
61.5,22.267193367589687,22.0,20
62.0,22.116036233258114,22.0,20
62.5,22.20938588300574,22.0,20
63.0,22.154106267676326,22.0,20
63.5,22.350511159621806,22.0,20
64.0,22.462600476610238,22.0,20
64.5,22.2953010165717,22.0,20
65.0,22.479897083565415,22.0,20
65.5,22.55398779306673,22.0,20
66.0,22.39684054108047,22.0,20
66.5,22.33842057892992,22.0,20
67.0,22.436260148914414,22.0,20
67.5,22.370976646935002,22.0,20
68.0,22.477677657413054,22.0,20
68.5,22.574289152319523,22.0,20
69.0,22.610297431760895,22.0,20
69.5,22.584592981348994,22.0,20
70.0,22.56906720597591,22.0,20
70.5,22.456141577190607,22.0,20
71.0,22.646244261596664,22.0,20
71.5,22.580754589053903,22.0,20
72.0,22.718916371014522,22.0,20
72.5,22.621752882889467,22.0,20
73.0,22.759091276122696,22.0,20
73.5,22.90096476733697,22.0,20
74.0,22.873220917842964,22.0,20
74.5,23.062190403618075,22.0,20
75.0,22.919929400470455,22.0,20
75.5,23.05292693430025,22.0,20
76.0,23.235512726160074,22.0,20
76.5,23.10009773932001,22.0,20
77.0,23.254210457794738,22.0,20
77.5,23.391867143727392,22.0,20
78.0,23.230386305834802,22.0,20
78.5,23.41401607406865,22.0,20
79.0,23.25008626227691,22.0,20
79.5,23.118972411227666,22.0,20
80.0,22.956701125173634,22.0,20
80.5,22.902328013202403,22.0,20
81.0,22.99750044164602,22.0,20
81.5,23.02170517110579,22.0,20
82.0,23.124168800043737,22.0,20
82.5,23.289517927079363,22.0,20
83.0,23.358689204870355,22.0,20
83.5,23.28513161224217,22.0,20
84.0,23.466307445583762,22.0,20
84.5,23.34614767969854,22.0,20
85.0,23.46002033226529,22.0,20
85.5,23.541452053877705,22.0,20
86.0,23.622431882662518,22.0,20
86.5,23.50443734475981,22.0,20
87.0,23.39408693832384,22.0,20
87.5,23.496713493046435,22.0,20
88.0,23.66563146820115,22.0,20
88.5,23.80781653747725,22.0,20
89.0,23.977827487008014,22.0,20
89.5,23.89975318910174,22.0,20
90.0,23.70806645577759,22.0,20
90.5,23.830975497515002,22.0,20
91.0,23.770314249752087,22.0,20
91.5,23.6018080758661,22.0,20
92.0,23.537517526416654,22.0,20
92.5,23.714220673817945,22.0,20
93.0,23.523957713455037,22.0,20
93.5,23.60711766155195,22.0,20
94.0,23.435369514451633,22.0,20
94.5,23.24234541120205,22.0,20
95.0,23.212961081554067,22.0,20
95.5,23.262313205299552,22.0,20
96.0,23.3505342290929,22.0,20
96.5,23.214209732341796,22.0,20
97.0,23.226595956041333,22.0,20
97.5,23.228648384836323,22.0,20
98.0,23.37733708719191,22.0,20
98.5,23.30628344466628,22.0,20
99.0,23.449870454457397,22.0,20
99.5,23.268000088495754,22.0,20
100.0,23.289725356084638,22.0,20
100.5,23.16866640771619,22.0,20
101.0,23.33492332431061,22.0,20
101.5,23.240312699383257,22.0,20
102.0,23.213992275934704,22.0,20
102.5,23.38654958487277,22.0,20
103.0,23.311699814252734,22.0,20
103.5,23.30668891684256,22.0,20
104.0,23.388932203308674,22.0,20
104.5,23.19602455049394,22.0,20
105.0,23.314428309662723,22.0,20
105.5,23.264712676416856,22.0,20
106.0,23.074128931298382,22.0,20
106.5,22.877740787046243,22.0,20
107.0,22.963557867827497,22.0,20
107.5,22.795994856223164,22.0,20
108.0,22.706198265929263,22.0,20
108.5,22.566509355511222,22.0,20
109.0,22.721348153894972,22.0,20
109.5,22.529095429588743,22.0,20
110.0,22.71205990749813,22.0,20
110.5,22.706013452990444,22.0,20
111.0,22.766168512520377,22.0,20
111.5,22.775821800445012,22.0,20
112.0,22.70911031331239,22.0,20
112.5,22.552055778542186,22.0,20
113.0,22.690278055028482,22.0,20
113.5,22.53505941026939,22.0,20
114.0,22.46806384686259,22.0,20
114.5,22.505846385315966,22.0,20
115.0,22.5174600553508,22.0,20
115.5,22.53114213265532,22.0,20
116.0,22.636040147896676,22.0,20
116.5,22.496165409159143,22.0,20
117.0,22.659142261591843,22.0,20
117.5,22.733487787363174,22.0,20
118.0,22.788841494767425,22.0,20
118.5,22.9040110880401,22.0,20
119.0,22.87356403238239,22.0,20
119.5,22.78441945084236,22.0,20
120.0,22.768366674701845,22.0,20
120.5,22.887467511417128,22.0,20
121.0,22.831052034628225,22.0,20
121.5,22.969863949620372,22.0,20
122.0,22.894837648600117,22.0,20
122.5,22.719955489815856,22.0,20
123.0,22.892282377691608,22.0,20
123.5,22.7477691669293,22.0,20
124.0,22.592943533853045,22.0,20
124.5,22.782936232546586,22.0,20
125.0,22.97642949592213,22.0,20
125.5,22.862967094075064,22.0,20
126.0,22.90935551996078,22.0,20
126.5,22.866323873984744,22.0,20
127.0,22.747407239310895,22.0,20
127.5,22.623018067857476,22.0,20
128.0,22.481706726252817,22.0,20
128.5,22.59216802375062,22.0,20
129.0,22.5125258745282,22.0,20
129.5,22.49086974310206,22.0,20
130.0,22.609852185911425,30.0,20
130.5,22.460009535195212,30.0,20
131.0,22.439798651917332,30.0,20
131.5,22.495578995375546,30.0,20
132.0,22.679102707764464,30.0,20
132.5,22.677813336967063,30.0,26.0
133.0,22.612791682575896,30.0,26.0
133.5,22.770554795940154,30.0,26.0
134.0,22.643931049764934,30.0,26.0
134.5,22.69730250272854,30.0,26.0
135.0,22.75011281765573,30.0,26.0
135.5,22.820297489216646,30.0,26.0
136.0,22.813234897199838,30.0,26.0
136.5,22.680923332815823,30.0,26.0
137.0,22.82407156239516,30.0,26.0
137.5,23.018974754123025,30.0,26.0
138.0,23.134015275317463,30.0,26.0
138.5,23.25080846981527,30.0,26.0
139.0,23.328976781282027,30.0,26.0
139.5,23.137680385916067,30.0,26.0
140.0,23.096238657249373,30.0,26.0
140.5,23.27535043971199,30.0,26.0
141.0,23.43107629115277,30.0,26.0
141.5,23.403071620795938,30.0,26.0
142.0,23.398655310877878,30.0,26.0
142.5,23.332396141685997,30.0,26.0
143.0,23.411462845462744,30.0,26.0
143.5,23.582525057820497,30.0,26.0
144.0,23.56115031400905,30.0,26.0
144.5,23.565881480815147,30.0,26.0
145.0,23.620548794915756,30.0,26.0
145.5,23.7699783311898,30.0,26.0
146.0,23.675926073234113,30.0,26.0
146.5,23.528196967528054,30.0,26.0
147.0,23.575439339521818,30.0,26.0
147.5,23.44179223648935,30.0,26.0
148.0,23.302998281564275,30.0,26.0
148.5,23.351972527969433,30.0,26.0
149.0,23.417403812478163,30.0,26.0
149.5,23.427136595322416,30.0,26.0
150.0,23.385785571536985,30.0,26.0
150.5,23.37802526081556,30.0,26.0
151.0,23.35845964913195,30.0,26.0
151.5,23.336956073346986,30.0,26.0
152.0,23.43582710693567,30.0,26.0
152.5,23.317388724266237,30.0,26.0
153.0,23.308071694086163,30.0,26.0
153.5,23.176365495535617,30.0,26.0
154.0,23.145525473925378,30.0,26.0
154.5,22.97402338126143,30.0,26.0
155.0,23.037110008396677,30.0,26.0
155.5,23.06619558960561,30.0,26.0
156.0,23.02398313842329,30.0,26.0
156.5,22.902045878078997,30.0,26.0
157.0,23.050165327938977,30.0,26.0
157.5,23.09814366293657,30.0,26.0
158.0,23.20836250775351,30.0,26.0
158.5,23.3204161190818,30.0,26.0
159.0,23.185985092608142,30.0,26.0
159.5,23.086487886455526,30.0,26.0
160.0,23.238317539571664,30.0,26.0
160.5,23.43536121904991,30.0,26.0
161.0,23.565314927099404,30.0,26.0
161.5,23.612186288872287,30.0,26.0
162.0,23.76609150282683,30.0,26.0
162.5,23.69577403259162,30.0,26.0
163.0,23.843311323418764,30.0,26.0
163.5,23.986132815246528,30.0,26.0
164.0,24.163297768091013,30.0,26.0
164.5,24.14243115264821,30.0,26.0
165.0,24.03866661219269,30.0,26.0
165.5,24.171097807184825,30.0,26.0
166.0,24.204812614947784,30.0,26.0
166.5,24.167686207793718,30.0,26.0
167.0,24.02733723255813,30.0,26.0
167.5,23.9368326334643,30.0,26.0
168.0,23.983997336759572,30.0,26.0
168.5,24.054551809253848,30.0,26.0
169.0,23.886003290295562,30.0,26.0
169.5,23.872147217401984,30.0,26.0
170.0,23.834160139668946,30.0,26.0
170.5,23.8539645279767,30.0,26.0
171.0,24.043350895366213,30.0,26.0
171.5,24.0417245957546,30.0,26.0
172.0,23.979663344545134,30.0,26.0
172.5,23.900562398770123,30.0,26.0
173.0,23.998886307938005,30.0,26.0
173.5,24.098283978174724,30.0,26.0
174.0,23.936983532541174,30.0,26.0
174.5,23.909106555177353,30.0,26.0
175.0,23.79837569835656,30.0,26.0
175.5,23.930432187015406,30.0,26.0
176.0,23.783205379396538,30.0,26.0
176.5,23.600074806600794,30.0,26.0
177.0,23.671603645949105,30.0,26.0
177.5,23.556482038829667,30.0,26.0
178.0,23.75084468978036,30.0,26.0
178.5,23.901862530689158,30.0,26.0
179.0,23.789168605283766,30.0,26.0
179.5,23.863416635874557,30.0,26.0
180.0,24.061538915705462,30.0,26.0
180.5,24.10990401720801,30.0,26.0
181.0,24.284350717344882,30.0,26.0
181.5,24.108138589405584,30.0,26.0
182.0,24.055445167709543,30.0,26.0
182.5,24.036715682279233,30.0,26.0
183.0,24.04924776972435,30.0,26.0
183.5,24.021559997355876,30.0,26.0
184.0,23.871777566404766,30.0,26.0
184.5,23.893161862349196,30.0,26.0
185.0,23.8365549270463,30.0,26.0
185.5,23.65205566796771,30.0,26.0
